id,WP_447029335.1,WP_447006119.1,WP_446888964.1,YBV26126.1,YBV21917.1,BGO70610.1,BHH87803.1,CAO3294171.1,CAM5329635.1,YBU08153.1
WP_447029335.1,100.0,59.701492537313435,5.797101449275362,22.535211267605632,3.6363636363636362,51.824817518248175,31.41025641025641,8.994708994708995,88.80597014925372,6.951871657754011
WP_447006119.1,59.701492537313435,100.0,5.314009661835748,19.11764705882353,2.272727272727273,61.06870229007634,26.923076923076923,8.994708994708995,59.701492537313435,5.376344086021505
WP_446888964.1,5.797101449275362,5.314009661835748,100.0,4.205607476635514,16.470588235294116,6.763285024154589,3.587443946188341,6.132075471698113,5.314009661835748,5.633802816901408
YBV26126.1,22.535211267605632,19.11764705882353,4.205607476635514,100.0,2.6548672566371683,18.978102189781023,28.481012658227847,10.76923076923077,23.943661971830984,6.770833333333333
YBV21917.1,3.6363636363636362,2.272727272727273,16.470588235294116,2.6548672566371683,100.0,3.1818181818181817,3.587443946188341,4.716981132075472,2.272727272727273,5.213270142180095
BGO70610.1,51.824817518248175,61.06870229007634,6.763285024154589,18.978102189781023,3.1818181818181817,100.0,28.02547770700637,8.37696335078534,55.47445255474452,6.451612903225806
BHH87803.1,31.41025641025641,26.923076923076923,3.587443946188341,28.481012658227847,3.587443946188341,28.02547770700637,100.0,7.246376811594203,31.41025641025641,6.862745098039215
CAO3294171.1,8.994708994708995,8.994708994708995,6.132075471698113,10.76923076923077,4.716981132075472,8.37696335078534,7.246376811594203,100.0,8.994708994708995,13.609467455621301
CAM5329635.1,88.80597014925372,59.701492537313435,5.314009661835748,23.943661971830984,2.272727272727273,55.47445255474452,31.41025641025641,8.994708994708995,100.0,7.4866310160427805
YBU08153.1,6.951871657754011,5.376344086021505,5.633802816901408,6.770833333333333,5.213270142180095,6.451612903225806,6.862745098039215,13.609467455621301,7.4866310160427805,100.0
